chr	start	end	adipocyte	endothelial_cell	colon_fibroblasts	heart_fibroblasts	dermal_fibroblast	skeletal_muscle	smooth_muscle	heart_cardiomyocyte	bone_osteoblast	oligodendrocyte	neuron	hepatocyte	pancreas_duct	pancreas_acinar	pancreas_delta	pancreas_beta	pancreas_alpha	kidney_epithelial	thyroid_epithelial	fallopian_epithelial	ovary_epithelial	erythrocyte_progenitor	T-cell	NK-cell	monocyte	granulocyte	B-cell	epiderminal_keratinocyte	head_neck_epithelial	lung_epithelial	prostate_epithelial	bladder_epithelial	breast_luminal	breast_basal	lung_alveolar_epithelial	gallbladder	gastric_epithelial	colon_epithelial	small_int_epithelial
chr2	181909356	181909641	0.89	0.91	0.93	0.93	0.87	0.92	0.89	0.96	0.89	0.92	0.95	0.91	0.97	0.03	0.96	0.93	0.96	0.81	0.96	0.94	0.93	0.78	0.96	0.97	0.96	0.93	0.97	0.94	0.94	0.96	0.91	0.96	0.98	0.97	0.93	0.92	0.85	0.89	0.94
chr2	182797516	182797742	0.92	0.92	0.84	0.80	0.90	0.92	0.79	0.93	0.81	0.94	0.95	0.91	0.97	0.81	0.96	0.91	0.89	0.93	0.93	0.95	0.83	0.59	0.87	0.94	0.94	0.93	0.91	0.88	0.87	0.38	0.73	0.87	0.91	0.95	0.80	0.92	0.89	0.05	0.77
chr2	183169403	183169569	0.94	0.96	0.94	0.92	0.96	0.91	0.94	0.97	0.92	0.96	0.96	0.97	0.97	0.96	0.98	0.98	0.98	0.96	0.91	0.95	0.94	0.76	0.96	0.96	0.90	0.74	0.96	0.18	0.14	0.88	0.91	0.91	0.96	0.87	0.93	0.99	0.96	0.97	0.96
chr2	186637450	186637813	0.87	0.94	0.96	0.91	0.84	0.80	0.93	0.94	0.93	0.88	0.96	0.96	0.96	0.93	0.97	0.94	0.97	0.97	0.96	0.95	0.96	0.77	0.97	0.94	0.31	0.22	0.97	0.94	0.93	0.93	0.94	0.93	0.97	0.94	0.94	0.96	0.95	0.96	0.96
chr2	186895379	186895952	0.96	0.94	0.83	0.82	0.92	0.91	0.75	0.92	0.67	0.94	0.96	0.67	0.89	0.64	0.85	0.84	0.80	0.89	0.91	0.87	0.77	0.58	0.83	0.87	0.93	0.93	0.89	0.81	0.73	0.55	0.71	0.10	0.38	0.88	0.81	0.88	0.85	0.81	0.85
chr2	187507081	187507410	0.93	0.87	0.87	0.92	0.93	0.88	0.90	0.97	0.92	0.85	0.94	0.95	0.93	0.88	0.93	0.93	0.91	0.96	0.94	0.32	0.19	0.79	0.89	0.95	0.92	0.91	0.91	0.85	0.82	0.96	0.86	0.94	0.90	0.87	0.96	0.96	0.94	0.94	0.96
chr2	188170524	188170832	0.95	0.92	0.90	0.66	0.92	0.95	0.81	0.64	0.70	0.95	0.95	0.82	0.81	0.96	0.88	0.87	0.89	0.94	0.74	0.92	0.95	0.61	0.88	0.92	0.93	0.93	0.89	0.77	0.87	0.49	0.94	0.90	0.89	0.88	0.06	0.88	0.85	0.94	0.96
chr2	189504480	189504811	0.92	0.94	0.80	0.86	0.90	0.74	0.82	0.96	0.71	0.91	0.89	0.94	0.96	0.84	0.92	0.93	0.97	0.94	0.87	0.92	0.71	0.73	0.89	0.93	0.94	0.97	0.87	0.43	0.10	0.45	0.84	0.81	0.91	0.85	0.87	0.93	0.95	0.94	0.92
chr2	189802843	189803350	0.93	0.93	0.91	0.88	0.95	0.93	0.88	0.94	0.91	0.77	0.92	0.97	0.96	0.84	0.79	0.22	0.29	0.92	0.95	0.97	0.97	0.71	0.95	0.97	0.96	0.96	0.95	0.82	0.90	0.91	0.85	0.93	0.97	0.97	0.96	0.96	0.95	0.92	0.94
chr2	190563416	190563910	0.85	0.91	0.87	0.73	0.49	0.92	0.78	0.94	0.78	0.93	0.86	0.97	0.84	0.91	0.85	0.87	0.92	0.78	0.88	0.01	0.57	0.75	0.85	0.88	0.96	0.96	0.84	0.84	0.92	0.69	0.97	0.89	0.85	0.69	0.74	0.88	0.94	0.97	0.96
chr2	190885172	190885535	0.92	0.90	0.70	0.92	0.94	0.83	0.94	0.94	0.74	0.96	0.76	0.97	0.95	0.94	0.91	0.97	0.03	0.60	0.94	0.97	0.96	0.88	0.66	0.87	0.93	0.95	0.50	0.96	0.90	0.96	0.97	0.96	0.98	0.90	0.79	0.93	0.96	0.96	0.76
chr2	191295845	191296416	0.66	0.75	0.48	0.08	0.37	0.53	0.59	0.96	0.77	0.89	0.89	0.94	0.96	0.86	0.83	0.90	0.87	0.95	0.93	0.96	0.87	0.63	0.91	0.94	0.92	0.98	0.90	0.97	0.90	0.90	0.93	0.93	0.91	0.94	0.73	0.94	0.93	0.94	0.94
chr2	191325749	191326154	0.78	0.88	0.71	0.95	0.18	0.53	0.92	0.96	0.15	0.85	0.87	0.95	0.97	0.96	0.82	0.68	0.96	0.96	0.97	0.87	0.64	0.53	0.84	0.86	0.86	0.87	0.86	0.95	0.95	0.97	0.96	0.97	0.98	0.96	0.97	0.94	0.96	0.98	0.97
chr2	191804900	191805113	0.87	0.80	0.74	0.82	0.78	0.86	0.56	0.93	0.83	0.50	0.92	0.92	0.70	0.68	0.81	0.81	0.77	0.80	0.93	0.00	0.49	0.74	0.86	0.93	0.96	0.95	0.90	0.96	0.91	0.94	0.80	0.79	0.87	0.93	0.96	0.91	0.94	0.96	0.96
chr2	194559884	194560076	0.95	0.94	0.87	0.70	0.89	0.95	0.72	0.96	0.73	0.97	0.95	0.93	0.96	0.85	0.95	0.96	0.93	0.93	0.97	0.92	0.93	0.63	0.90	0.92	0.95	0.91	0.92	0.95	0.92	0.97	0.96	0.95	0.61	0.08	0.96	0.96	0.93	0.95	0.95
chr2	195593398	195593998	0.95	0.94	0.85	0.93	0.94	0.95	0.85	0.97	0.59	0.96	0.92	0.97	0.97	0.93	0.91	0.92	0.90	0.95	0.80	0.97	0.91	0.80	0.95	0.97	0.96	0.96	0.96	0.95	0.67	0.16	0.63	0.75	0.96	0.97	0.86	0.89	0.96	0.95	0.97
chr2	196156266	196156700	0.92	0.90	0.74	0.85	0.94	0.85	0.85	0.94	0.73	0.94	0.95	0.92	0.96	0.90	0.90	0.92	0.96	0.94	0.95	0.94	0.92	0.76	0.27	0.79	0.92	0.96	0.69	0.77	0.85	0.93	0.94	0.94	0.92	0.95	0.93	0.95	0.93	0.93	0.93
chr2	196900706	196900883	0.97	0.94	0.93	0.92	0.94	0.92	0.91	0.96	0.97	0.94	0.95	0.95	0.97	0.97	0.96	0.95	0.97	0.95	0.97	0.98	0.96	0.66	0.94	0.95	0.95	0.97	0.91	0.94	0.95	0.97	0.98	0.95	0.95	0.94	0.96	0.89	0.79	0.85	0.16
chr2	197446332	197446496	0.76	0.89	0.87	0.85	0.86	0.75	0.82	0.93	0.78	0.88	0.91	0.92	0.94	0.84	0.86	0.84	0.82	0.91	0.90	0.92	0.90	0.90	0.90	0.92	0.77	0.14	0.88	0.90	0.87	0.92	0.95	0.92	0.92	0.88	0.93	0.88	0.93	0.93	0.92
chr2	198084171	198084414	0.93	0.95	0.87	0.93	0.94	0.94	0.87	0.98	0.85	0.96	0.96	0.83	0.91	0.83	0.87	0.84	0.86	0.21	0.94	0.98	0.93	0.67	0.94	0.93	0.97	0.97	0.90	0.93	0.93	0.96	0.95	0.90	0.95	0.98	0.94	0.89	0.94	0.87	0.88
chr2	199442339	199442602	0.95	0.94	0.85	0.90	0.94	0.92	0.91	0.96	0.40	0.96	0.76	0.96	0.96	0.93	0.94	0.95	0.94	0.96	0.94	0.93	0.91	0.67	0.88	0.93	0.94	0.97	0.88	0.89	0.90	0.93	0.96	0.95	0.94	0.97	0.91	0.93	0.93	0.10	0.90
chr2	199464553	199464843	0.12	0.08	0.17	0.08	0.84	0.07	0.11	0.04	0.09	0.06	0.03	0.10	0.09	0.10	0.06	0.08	0.07	0.20	0.08	0.12	0.26	0.02	0.16	0.07	0.07	0.05	0.20	0.06	0.13	0.12	0.57	0.42	0.18	0.15	0.11	0.08	0.11	0.01	0.20
chr2	199472413	199473013	0.90	0.89	0.82	0.68	0.93	0.93	0.73	0.94	0.69	0.94	0.70	0.92	0.92	0.79	0.90	0.91	0.88	0.94	0.92	0.89	0.85	0.55	0.89	0.93	0.91	0.95	0.91	0.87	0.86	0.91	0.95	0.87	0.91	0.95	0.91	0.92	0.87	0.02	0.94
chr2	199683576	199683932	0.92	0.86	0.88	0.54	0.87	0.91	0.62	0.87	0.85	0.96	0.95	0.95	0.89	0.74	0.84	0.86	0.82	0.93	0.96	0.93	0.90	0.57	0.89	0.92	0.96	0.95	0.93	0.09	0.81	0.93	0.73	0.83	0.81	0.84	0.91	0.89	0.86	0.96	0.90
chr2	199744656	199745015	0.58	0.80	0.83	0.09	0.80	0.80	0.48	0.89	0.50	0.91	0.89	0.97	0.95	0.84	0.93	0.89	0.88	0.94	0.94	0.94	0.94	0.66	0.88	0.91	0.96	0.96	0.90	0.69	0.84	0.93	0.94	0.88	0.91	0.89	0.92	0.88	0.91	0.96	0.94
chr2	201066697	201067200	0.86	0.92	0.90	0.90	0.90	0.84	0.89	0.91	0.86	0.95	0.76	0.97	0.95	0.89	0.94	0.96	0.95	0.94	0.92	0.96	0.96	0.76	0.95	0.95	0.86	0.76	0.93	0.30	0.94	0.95	0.97	0.95	0.93	0.90	0.95	0.93	0.91	0.96	0.97
chr2	201923818	201924048	0.91	0.88	0.87	0.82	0.93	0.71	0.79	0.95	0.75	0.81	0.76	0.94	0.93	0.84	0.89	0.05	0.98	0.95	0.94	0.95	0.93	0.74	0.88	0.90	0.95	0.95	0.91	0.84	0.92	0.91	0.96	0.94	0.88	0.95	0.95	0.91	0.95	0.91	0.91
chr2	202201699	202202152	0.94	0.94	0.93	0.81	0.94	0.95	0.85	0.19	0.93	0.96	0.88	0.98	0.97	0.94	0.96	0.96	0.97	0.97	0.95	0.98	0.97	0.85	0.96	0.97	0.98	0.97	0.96	0.93	0.96	0.97	0.97	0.96	0.98	0.96	0.96	0.94	0.96	0.96	0.95
chr2	202289405	202290023	0.88	0.91	0.88	0.89	0.89	0.87	0.85	0.92	0.85	0.94	0.91	0.97	0.96	0.93	0.93	0.95	0.96	0.96	0.93	0.95	0.95	0.83	0.92	0.96	0.96	0.96	0.93	0.93	0.93	0.85	0.95	0.96	0.95	0.91	0.08	0.95	0.94	0.94	0.95
chr2	202601790	202601949	0.85	0.93	0.85	0.84	0.89	0.87	0.83	0.93	0.81	0.92	0.96	0.90	0.96	0.78	0.92	0.93	0.94	0.94	0.93	0.92	0.93	0.60	0.67	0.13	0.86	0.88	0.88	0.87	0.72	0.57	0.93	0.86	0.94	0.94	0.93	0.94	0.93	0.94	0.94
chr2	202664445	202664804	0.98	0.95	0.90	0.90	0.91	0.94	0.83	0.96	0.80	0.91	0.94	0.97	0.96	0.91	0.91	0.90	0.93	0.16	0.85	0.88	0.92	0.66	0.95	0.96	0.97	0.97	0.72	0.87	0.87	0.96	0.96	0.95	0.96	0.97	0.96	0.95	0.93	0.95	0.95
chr2	203093058	203093682	0.95	0.95	0.91	0.92	0.91	0.93	0.90	0.96	0.89	0.96	0.96	0.96	0.95	0.75	0.97	0.95	0.96	0.96	0.94	0.96	0.96	0.69	0.94	0.95	0.97	0.95	0.95	0.91	0.94	0.95	0.96	0.94	0.95	0.96	0.94	0.86	0.12	0.93	0.91
chr2	203474935	203475133	0.94	0.94	0.91	0.95	0.95	0.94	0.93	0.97	0.94	0.96	0.95	0.93	0.96	0.93	0.94	0.93	0.95	0.95	0.04	0.97	0.95	0.71	0.95	0.94	0.97	0.97	0.92	0.91	0.94	0.97	0.98	0.95	0.98	0.96	0.97	0.85	0.97	0.95	0.96
chr2	203489629	203489987	0.84	0.90	0.90	0.79	0.91	0.86	0.82	0.92	0.84	0.95	0.85	0.87	0.96	0.76	0.91	0.83	0.92	0.73	0.93	0.98	0.96	0.67	0.94	0.94	0.96	0.95	0.91	0.94	0.94	0.94	0.95	0.94	0.95	0.95	0.93	0.17	0.82	0.93	0.15
chr2	203707138	203707791	0.92	0.94	0.82	0.89	0.89	0.92	0.82	0.94	0.92	0.95	0.95	0.95	0.80	0.84	0.82	0.88	0.90	0.92	0.96	0.87	0.89	0.62	0.19	0.96	0.93	0.93	0.73	0.82	0.92	0.95	0.95	0.92	0.92	0.94	0.95	0.94	0.89	0.94	0.93
chr2	203940805	203941092	0.88	0.94	0.86	0.86	0.90	0.91	0.85	0.97	0.92	0.96	0.96	0.95	0.97	0.91	0.97	0.96	0.97	0.95	0.95	0.97	0.96	0.76	0.17	0.86	0.88	0.94	0.94	0.94	0.96	0.98	0.97	0.94	0.97	0.96	0.97	0.98	0.96	0.96	0.94
chr2	204026529	204026900	0.88	0.91	0.86	0.16	0.67	0.86	0.66	0.90	0.62	0.96	0.96	0.83	0.97	0.76	0.95	0.94	0.94	0.92	0.94	0.87	0.92	0.54	0.95	0.94	0.93	0.90	0.82	0.90	0.93	0.94	0.95	0.86	0.97	0.98	0.93	0.95	0.92	0.95	0.91
chr2	204357379	204357578	0.90	0.88	0.86	0.93	0.88	0.94	0.79	0.95	0.49	0.90	0.95	0.97	0.97	0.90	0.03	0.03	0.91	0.58	0.91	0.86	0.70	0.52	0.84	0.88	0.94	0.92	0.85	0.82	0.95	0.94	0.90	0.89	0.90	0.94	0.96	0.97	0.87	0.92	0.89
chr2	205189641	205189859	0.96	0.94	0.83	0.61	0.98	0.90	0.86	0.73	0.80	0.93	0.85	0.98	0.95	0.92	0.77	0.74	0.16	0.92	0.95	0.70	0.94	0.62	0.89	0.94	0.94	0.96	0.86	0.90	0.95	0.87	0.93	0.94	0.98	0.97	0.45	0.93	0.93	0.96	0.95
chr2	205715420	205715575	0.89	0.88	0.86	0.70	0.84	0.93	0.88	0.80	0.75	0.97	0.82	0.95	0.97	0.93	0.97	0.94	0.97	0.96	0.96	0.64	0.79	0.03	0.87	0.89	0.92	0.93	0.91	0.93	0.91	0.96	0.95	0.91	0.95	0.97	0.93	0.92	0.93	0.92	0.92
chr2	205721375	205721793	0.93	0.92	0.75	0.93	0.92	0.92	0.91	0.94	0.90	0.06	0.81	0.93	0.89	0.83	0.91	0.89	0.85	0.93	0.92	0.95	0.91	0.73	0.93	0.94	0.93	0.96	0.91	0.88	0.90	0.92	0.95	0.91	0.88	0.91	0.95	0.83	0.92	0.93	0.93
chr2	205837171	205837376	0.96	0.95	0.93	0.81	0.91	0.94	0.82	0.98	0.91	0.95	0.96	0.96	0.98	0.97	0.97	0.97	0.97	0.92	0.84	0.18	0.18	0.66	0.91	0.94	0.96	0.98	0.92	0.85	0.92	0.96	0.95	0.96	0.97	0.98	0.92	0.96	0.95	0.96	0.96
chr2	206039701	206040020	0.91	0.80	0.79	0.05	0.87	0.92	0.55	0.95	0.92	0.96	0.88	0.94	0.94	0.93	0.97	0.98	0.99	0.96	0.93	0.98	0.96	0.85	0.95	0.97	0.94	0.97	0.94	0.79	0.79	0.89	0.86	0.89	0.94	0.94	0.93	0.83	0.92	0.92	0.95
chr2	207173054	207173354	0.90	0.94	0.86	0.85	0.89	0.91	0.83	0.93	0.85	0.96	0.96	0.94	0.86	0.73	0.83	0.92	0.89	0.96	0.92	0.94	0.91	0.67	0.91	0.91	0.94	0.95	0.94	0.93	0.93	0.92	0.72	0.87	0.90	0.94	0.93	0.92	0.84	0.03	0.80
chr2	207467121	207467577	0.89	0.94	0.85	0.92	0.78	0.87	0.86	0.97	0.91	0.94	0.93	0.95	0.95	0.80	0.96	0.95	0.95	0.81	0.07	0.75	0.69	0.76	0.89	0.94	0.95	0.96	0.88	0.95	0.88	0.94	0.97	0.95	0.96	0.96	0.94	0.99	0.96	0.95	0.96
chr2	207729765	207729935	0.95	0.96	0.90	0.91	0.95	0.95	0.92	0.85	0.92	0.95	0.95	0.97	0.96	0.96	0.95	0.96	0.99	0.98	0.24	0.98	0.95	0.73	0.93	0.96	0.96	0.94	0.95	0.95	0.93	0.95	0.96	0.96	0.98	0.97	0.12	0.96	0.96	0.95	0.94
chr2	207799267	207799868	0.95	0.94	0.89	0.92	0.91	0.93	0.87	0.96	0.91	0.96	0.96	0.11	0.88	0.75	0.92	0.95	0.91	0.78	0.95	0.97	0.90	0.83	0.95	0.97	0.97	0.97	0.96	0.94	0.95	0.93	0.97	0.96	0.98	0.98	0.94	0.06	0.94	0.97	0.96
chr2	208352380	208353044	0.95	0.95	0.96	0.88	0.96	0.95	0.90	0.94	0.90	0.96	0.96	0.90	0.80	0.04	0.90	0.91	0.94	0.87	0.96	0.98	0.87	0.82	0.96	0.99	0.97	0.95	0.97	0.92	0.97	0.98	0.91	0.97	0.93	0.97	0.94	0.72	0.82	0.97	0.94
chr2	208543483	208544047	0.84	0.87	0.87	0.58	0.75	0.90	0.66	0.96	0.68	0.94	0.96	0.78	0.97	0.87	0.80	0.66	0.89	0.15	0.93	0.89	0.94	0.79	0.89	0.92	0.95	0.95	0.91	0.85	0.89	0.94	0.89	0.84	0.94	0.95	0.95	0.85	0.87	0.94	0.94
chr2	209661895	209662344	0.88	0.95	0.90	0.92	0.90	0.94	0.78	0.95	0.86	0.81	0.15	0.80	0.97	0.96	0.96	0.93	0.97	0.95	0.97	0.96	0.88	0.62	0.88	0.91	0.93	0.94	0.93	0.95	0.89	0.94	0.92	0.89	0.97	0.97	0.94	0.96	0.92	0.86	0.90
chr2	210107463	210107784	0.92	0.94	0.92	0.87	0.94	0.83	0.87	0.96	0.91	0.95	0.96	0.96	0.96	0.95	0.96	0.97	0.96	0.95	0.94	0.97	0.96	0.76	0.94	0.95	0.76	0.16	0.94	0.94	0.94	0.97	0.96	0.97	0.96	0.96	0.96	0.91	0.96	0.96	0.96
chr2	210228607	210228784	0.94	0.90	0.88	0.86	0.87	0.94	0.84	0.95	0.79	0.96	0.96	0.97	0.96	0.96	0.95	0.95	0.94	0.58	0.05	0.88	0.93	0.70	0.85	0.91	0.95	0.95	0.88	0.93	0.94	0.96	0.97	0.96	0.97	0.97	0.88	0.95	0.97	0.93	0.94
chr2	211741913	211742492	0.93	0.86	0.82	0.72	0.86	0.89	0.74	0.98	0.69	0.88	0.81	0.79	0.95	0.84	0.11	0.28	0.66	0.96	0.97	0.96	0.75	0.57	0.88	0.92	0.92	0.94	0.91	0.86	0.92	0.96	0.93	0.92	0.95	0.97	0.95	0.95	0.89	0.74	0.66
chr2	213038214	213038395	0.96	0.93	0.73	0.93	0.92	0.95	0.92	0.95	0.91	0.96	0.97	0.96	0.97	0.94	0.97	0.97	0.97	0.98	0.97	0.96	0.96	0.71	0.81	0.79	0.94	0.97	0.11	0.93	0.97	0.97	0.98	0.97	0.98	0.97	0.97	0.94	0.96	0.95	0.84
chr2	215075944	215076278	0.77	0.80	0.79	0.08	0.61	0.80	0.38	0.93	0.60	0.85	0.74	0.70	0.88	0.59	0.85	0.82	0.83	0.89	0.91	0.97	0.93	0.49	0.79	0.88	0.88	0.88	0.85	0.89	0.91	0.97	0.94	0.88	0.95	0.95	0.92	0.95	0.83	0.88	0.89
chr2	215369573	215370323	0.87	0.84	0.83	0.66	0.87	0.85	0.79	0.84	0.68	0.90	0.93	0.84	0.73	0.63	0.22	0.64	0.58	0.93	0.87	0.93	0.94	0.65	0.94	0.97	0.95	0.93	0.96	0.91	0.83	0.82	0.81	0.80	0.98	0.98	0.89	0.75	0.77	0.94	0.93
chr2	215371830	215372283	0.90	0.90	0.92	0.82	0.93	0.90	0.88	0.96	0.48	0.96	0.87	0.77	0.97	0.93	0.95	0.95	0.95	0.97	0.95	0.96	0.95	0.70	0.95	0.97	0.84	0.88	0.95	0.89	0.92	0.93	0.92	0.97	0.34	0.07	0.96	0.94	0.96	0.97	0.96
chr2	215860678	215860857	0.90	0.95	0.83	0.95	0.89	0.84	0.91	0.94	0.91	0.94	0.96	0.96	0.97	0.90	0.95	0.96	0.96	0.95	0.94	0.97	0.94	0.80	0.86	0.82	0.14	0.38	0.86	0.94	0.94	0.97	0.97	0.89	0.97	0.99	0.96	0.94	0.97	0.97	0.96
chr2	216079273	216079556	0.67	0.94	0.93	0.93	0.92	0.92	0.88	0.97	0.91	0.97	0.94	0.05	0.97	0.94	0.97	0.94	0.97	0.64	0.89	0.96	0.94	0.86	0.95	0.96	0.92	0.89	0.95	0.93	0.96	0.97	0.97	0.96	0.96	0.96	0.96	0.87	0.96	0.96	0.90
chr2	216863104	216863320	0.68	0.82	0.58	0.08	0.82	0.78	0.34	0.97	0.74	0.79	0.91	0.96	0.82	0.92	0.96	0.95	0.96	0.92	0.56	0.95	0.93	0.72	0.74	0.88	0.78	0.86	0.66	0.83	0.93	0.92	0.93	0.91	0.96	0.94	0.91	0.91	0.93	0.84	0.88
chr2	217380076	217380273	0.97	0.97	0.94	0.94	0.95	0.94	0.94	0.95	0.97	0.98	0.86	0.96	0.97	0.97	0.97	0.99	0.99	0.94	0.95	0.94	0.91	0.76	0.97	0.98	0.97	0.97	0.95	0.89	0.97	0.97	0.91	0.93	0.80	0.09	0.96	0.87	0.96	0.94	0.61
chr2	218152364	218152641	0.93	0.93	0.86	0.81	0.88	0.91	0.80	0.85	0.74	0.94	0.93	0.89	0.93	0.87	0.88	0.89	0.91	0.95	0.96	0.97	0.92	0.64	0.90	0.94	0.97	0.97	0.88	0.10	0.11	0.71	0.84	0.78	0.83	0.64	0.94	0.91	0.92	0.92	0.89
chr2	218176951	218177306	0.94	0.96	0.92	0.89	0.91	0.95	0.88	0.97	0.81	0.94	0.93	0.96	0.96	0.95	0.94	0.93	0.95	0.97	0.96	0.98	0.94	0.72	0.94	0.97	0.97	0.98	0.95	0.87	0.92	0.96	0.98	0.96	0.73	0.20	0.97	0.97	0.98	0.97	0.96
chr2	218428096	218428493	0.86	0.88	0.82	0.73	0.80	0.88	0.72	0.90	0.75	0.91	0.95	0.97	0.92	0.90	0.89	0.90	0.91	0.91	0.86	0.87	0.89	0.80	0.87	0.94	0.95	0.95	0.90	0.84	0.58	0.15	0.82	0.69	0.92	0.96	0.72	0.76	0.88	0.91	0.86
chr2	218699874	218700048	0.89	0.95	0.91	0.92	0.91	0.80	0.88	0.96	0.90	0.93	0.95	0.96	0.98	0.94	0.94	0.95	0.94	0.96	0.96	0.98	0.95	0.74	0.94	0.94	0.18	0.46	0.94	0.96	0.96	0.96	0.97	0.97	0.97	0.97	0.95	0.96	0.96	0.97	0.95
chr2	218982604	218982962	0.03	0.07	0.11	0.05	0.09	0.06	0.04	0.02	0.06	0.06	0.24	0.08	0.05	0.10	0.72	0.91	0.39	0.07	0.06	0.07	0.14	0.04	0.13	0.08	0.06	0.06	0.11	0.11	0.11	0.07	0.17	0.11	0.13	0.16	0.06	0.05	0.08	0.12	0.14
chr2	218982967	218983305	0.09	0.18	0.10	0.18	0.27	0.15	0.15	0.05	0.09	0.08	0.36	0.10	0.08	0.20	0.77	0.95	0.37	0.10	0.07	0.10	0.20	0.04	0.16	0.11	0.11	0.09	0.15	0.13	0.15	0.12	0.24	0.15	0.26	0.34	0.10	0.06	0.14	0.22	0.21
chr2	219354145	219354307	0.89	0.87	0.84	0.73	0.84	0.92	0.68	0.77	0.80	0.94	0.96	0.86	0.92	0.63	0.93	0.94	0.90	0.91	0.89	0.87	0.90	0.01	0.85	0.90	0.94	0.95	0.87	0.89	0.88	0.90	0.92	0.88	0.94	0.96	0.82	0.88	0.83	0.91	0.90
chr2	219420274	219420873	0.92	0.92	0.90	0.92	0.92	0.48	0.90	0.08	0.90	0.96	0.97	0.93	0.95	0.83	0.97	0.97	0.97	0.93	0.93	0.96	0.93	0.69	0.91	0.94	0.96	0.96	0.92	0.90	0.91	0.91	0.95	0.94	0.95	0.96	0.90	0.94	0.92	0.94	0.92
chr2	219514273	219514649	0.03	0.03	0.06	0.02	0.13	0.04	0.07	0.01	0.06	0.02	0.03	0.06	0.06	0.09	0.02	0.04	0.01	0.05	0.08	0.01	0.03	0.00	0.04	0.02	0.01	0.01	0.05	0.05	0.04	0.03	0.10	0.02	0.57	0.79	0.03	0.04	0.03	0.04	0.03
chr2	219565888	219566271	0.91	0.92	0.83	0.83	0.92	0.84	0.80	0.84	0.83	0.92	0.91	0.97	0.95	0.91	0.86	0.90	0.88	0.96	0.94	0.95	0.95	0.56	0.81	0.89	0.94	0.94	0.82	0.92	0.91	0.89	0.93	0.96	0.97	0.94	0.94	0.90	0.93	0.86	0.10
chr2	219630073	219630408	0.87	0.86	0.86	0.88	0.91	0.86	0.86	0.06	0.84	0.93	0.84	0.90	0.93	0.90	0.93	0.95	0.97	0.95	0.95	0.96	0.95	0.74	0.90	0.93	0.95	0.95	0.91	0.91	0.92	0.92	0.94	0.92	0.96	0.90	0.94	0.89	0.91	0.84	0.80
chr2	219631162	219631360	0.89	0.88	0.86	0.91	0.89	0.89	0.88	0.08	0.89	0.94	0.91	0.89	0.96	0.90	0.96	0.96	0.95	0.96	0.94	0.98	0.96	0.71	0.89	0.95	0.94	0.96	0.90	0.95	0.94	0.95	0.96	0.95	0.96	0.94	0.90	0.87	0.89	0.83	0.82
chr2	220269940	220270221	0.85	0.86	0.83	0.76	0.80	0.59	0.79	0.98	0.70	0.92	0.90	0.90	0.97	0.91	0.61	0.02	0.88	0.88	0.95	0.97	0.94	0.50	0.84	0.91	0.93	0.91	0.88	0.93	0.95	0.98	0.97	0.92	0.94	0.97	0.96	0.93	0.92	0.92	0.89
chr2	222232056	222232211	0.86	0.87	0.79	0.74	0.86	0.90	0.59	0.98	0.77	0.94	0.96	0.90	0.91	0.84	0.57	0.33	0.01	0.64	0.94	0.74	0.87	0.65	0.89	0.93	0.94	0.94	0.83	0.69	0.87	0.93	0.92	0.89	0.87	0.94	0.96	0.92	0.92	0.88	0.81
chr2	222672789	222673208	0.92	0.93	0.88	0.86	0.90	0.91	0.84	0.96	0.87	0.93	0.94	0.92	0.96	0.93	0.94	0.95	0.93	0.95	0.90	0.97	0.74	0.75	0.89	0.93	0.96	0.96	0.92	0.90	0.93	0.97	0.96	0.94	0.97	0.96	0.91	0.09	0.95	0.92	0.90
chr2	222675501	222675942	0.93	0.91	0.86	0.84	0.91	0.90	0.84	0.96	0.86	0.94	0.96	0.97	0.96	0.94	0.94	0.93	0.91	0.96	0.93	0.91	0.94	0.76	0.92	0.95	0.96	0.97	0.87	0.94	0.92	0.93	0.96	0.94	0.94	0.96	0.93	0.15	0.96	0.96	0.94
chr2	223775881	223776378	0.93	0.93	0.90	0.85	0.93	0.90	0.86	0.97	0.89	0.95	0.95	0.96	0.95	0.93	0.90	0.94	0.94	0.96	0.94	0.04	0.72	0.65	0.94	0.97	0.96	0.95	0.96	0.95	0.92	0.94	0.97	0.95	0.95	0.96	0.94	0.93	0.95	0.95	0.95
chr2	224347823	224348313	0.86	0.85	0.75	0.78	0.86	0.87	0.71	0.84	0.75	0.86	0.94	0.87	0.87	0.69	0.32	0.09	0.79	0.82	0.94	0.86	0.89	0.57	0.77	0.89	0.93	0.95	0.84	0.89	0.85	0.88	0.90	0.82	0.95	0.97	0.90	0.87	0.84	0.86	0.70
chr2	224599836	224600151	0.92	0.91	0.86	0.82	0.92	0.93	0.74	0.96	0.14	0.96	0.97	0.96	0.96	0.87	0.95	0.96	0.95	0.95	0.81	0.96	0.95	0.69	0.90	0.94	0.95	0.97	0.89	0.88	0.92	0.94	0.88	0.89	0.93	0.97	0.87	0.94	0.93	0.87	0.93
chr2	226326501	226326834	0.93	0.91	0.89	0.90	0.94	0.90	0.88	0.96	0.86	0.94	0.95	0.96	0.96	0.85	0.95	0.95	0.93	0.32	0.95	0.78	0.92	0.68	0.88	0.94	0.96	0.93	0.91	0.95	0.93	0.95	0.95	0.97	0.96	0.95	0.96	0.94	0.95	0.94	0.95
